date,open,high,low,close,adj_close,volume,market_cap,entity
2020-01-02,1.54,1.62,1.52,1.58,1.58,17814400,,GME
2020-01-03,1.55,1.56,1.46,1.47,1.47,14175600,,GME
2020-01-06,1.45,1.48,1.4,1.46,1.46,13579200,,GME
2020-01-07,1.44,1.46,1.36,1.38,1.38,20912000,,GME
2020-01-08,1.37,1.46,1.35,1.43,1.43,22517600,,GME
2020-01-09,1.46,1.46,1.37,1.39,1.39,10572000,,GME
2020-01-10,1.39,1.4,1.35,1.36,1.36,11125600,,GME
2020-01-13,1.36,1.4,1.33,1.36,1.36,14500800,,GME
2020-01-14,1.2,1.25,1.13,1.18,1.18,50247600,,GME
2020-01-15,1.17,1.18,1.14,1.15,1.15,19924400,,GME
2020-01-16,1.15,1.18,1.13,1.16,1.16,17148400,,GME
2020-01-17,1.15,1.19,1.13,1.19,1.19,16078000,,GME
2020-01-21,1.19,1.19,1.14,1.15,1.15,14128400,,GME
2020-01-22,1.14,1.16,1.12,1.14,1.14,10510000,,GME
2020-01-23,1.14,1.16,1.12,1.16,1.16,7520800,,GME
2020-01-24,1.16,1.16,1.06,1.08,1.08,16654400,,GME
2020-01-27,1.05,1.09,1.04,1.07,1.07,8490000,,GME
2020-01-28,1.08,1.08,1.05,1.05,1.05,8579600,,GME
2020-01-29,1.06,1.08,1.03,1.03,1.03,6210400,,GME
2020-01-30,1.03,1.03,0.97,0.98,0.98,12026000,,GME
2020-01-31,0.98,0.99,0.96,0.96,0.96,11566800,,GME
2020-02-03,0.97,1,0.96,0.99,0.99,8102400,,GME
2020-02-04,1.01,1.06,0.99,1.02,1.02,14252400,,GME
2020-02-05,1.04,1.1,1.04,1.05,1.05,10566800,,GME
2020-02-06,1.05,1.08,1.04,1.04,1.04,6041200,,GME
2020-02-07,1.03,1.03,0.94,0.95,0.95,10969200,,GME
2020-02-10,0.96,1.03,0.94,0.99,0.99,11108000,,GME
2020-02-11,1,1.06,0.99,1.01,1.01,13660000,,GME
2020-02-12,1.03,1.13,1.02,1.05,1.05,19282400,,GME
2020-02-13,1.03,1.07,1.02,1.03,1.03,8326800,,GME
2020-02-14,1.03,1.05,1.01,1.01,1.01,6330800,,GME
2020-02-18,1,1.02,0.99,1.02,1.02,5870400,,GME
2020-02-19,1.02,1.07,0.98,1.04,1.04,10372400,,GME
2020-02-20,1.04,1.08,1.03,1.04,1.04,6249200,,GME
2020-02-21,1.03,1.05,1,1.01,1.01,6782800,,GME
2020-02-24,0.98,0.98,0.93,0.93,0.93,14265200,,GME
2020-02-25,0.94,0.95,0.89,0.89,0.89,17791600,,GME
2020-02-26,0.9,0.91,0.84,0.85,0.85,18899200,,GME
2020-02-27,0.81,0.91,0.8,0.87,0.87,15518000,,GME
2020-02-28,0.84,0.93,0.84,0.9,0.9,18768800,,GME
2020-03-02,0.9,0.96,0.85,0.96,0.96,12833600,,GME
2020-03-03,0.97,0.97,0.88,0.91,0.91,17130000,,GME
2020-03-04,0.93,0.96,0.87,0.94,0.94,17030400,,GME
2020-03-05,0.93,1,0.9,0.99,0.99,14397600,,GME
2020-03-06,0.96,1.02,0.94,0.98,0.98,8387200,,GME
2020-03-09,0.9,0.99,0.88,0.93,0.93,10928000,,GME
2020-03-10,0.99,1.07,0.95,1.06,1.06,19452800,,GME
2020-03-11,1.04,1.06,1,1.04,1.04,17656400,,GME
2020-03-12,0.93,1.01,0.87,1,1,20493600,,GME
2020-03-13,1.03,1.16,0.96,1.15,1.15,23148800,,GME
2020-03-16,0.98,1.14,0.98,1.09,1.09,19466800,,GME
2020-03-17,1.1,1.16,1.03,1.06,1.06,14248800,,GME
2020-03-18,1.03,1.06,0.88,0.94,0.94,14606800,,GME
2020-03-19,0.93,1.05,0.89,1.05,1.05,20158000,,GME
2020-03-20,1.02,1.02,0.91,0.94,0.94,30888800,,GME
2020-03-23,0.9,0.97,0.88,0.95,0.95,24039200,,GME
2020-03-24,0.99,1.05,0.97,1.04,1.04,27222400,,GME
2020-03-25,1.04,1.12,1.01,1.04,1.04,14368400,,GME
2020-03-26,1.06,1.18,1.06,1.1,1.1,24742800,,GME
2020-03-27,1.24,1.27,1.04,1.06,1.06,28099200,,GME
2020-03-30,1.06,1.07,0.91,0.91,0.91,13402400,,GME
2020-03-31,0.91,0.95,0.88,0.88,0.88,9203600,,GME
2020-04-01,0.86,0.87,0.78,0.81,0.81,18274800,,GME
2020-04-02,0.82,0.84,0.71,0.71,0.71,16257200,,GME
2020-04-03,0.71,0.74,0.64,0.7,0.7,15321600,,GME
2020-04-06,0.72,0.8,0.71,0.77,0.77,13362000,,GME
2020-04-07,0.85,0.86,0.78,0.82,0.82,11347600,,GME
2020-04-08,0.81,0.92,0.8,0.85,0.85,11538000,,GME
2020-04-09,0.9,1.06,0.87,0.97,0.97,23634400,,GME
2020-04-13,1.06,1.19,1.04,1.19,1.19,27378000,,GME
2020-04-14,1.3,1.62,1.29,1.49,1.49,54026400,,GME
2020-04-15,1.42,1.42,1.23,1.32,1.32,29999600,,GME
2020-04-16,1.28,1.36,1.22,1.26,1.26,13487600,,GME
2020-04-17,1.31,1.32,1.11,1.22,1.22,22612800,,GME
2020-04-20,1.21,1.48,1.2,1.4,1.4,24340000,,GME
2020-04-21,1.31,1.33,1.19,1.2,1.2,16568400,,GME
2020-04-22,1.29,1.29,1.21,1.22,1.22,10711200,,GME
2020-04-23,1.19,1.22,1.15,1.18,1.18,9063600,,GME
2020-04-24,1.2,1.21,1.17,1.19,1.19,8944800,,GME
2020-04-27,1.21,1.5,1.2,1.46,1.46,29100400,,GME
2020-04-28,1.48,1.51,1.27,1.41,1.41,20800800,,GME
2020-04-29,1.46,1.52,1.36,1.51,1.51,13478400,,GME
2020-04-30,1.47,1.5,1.41,1.43,1.43,8693200,,GME
2020-05-01,1.41,1.55,1.36,1.51,1.51,16022400,,GME
2020-05-04,1.46,1.48,1.35,1.37,1.37,16272400,,GME
2020-05-05,1.39,1.41,1.34,1.35,1.35,8423600,,GME
2020-05-06,1.35,1.35,1.23,1.23,1.23,13478400,,GME
2020-05-07,1.21,1.23,1.16,1.22,1.22,10003200,,GME
2020-05-08,1.22,1.3,1.21,1.25,1.25,9410400,,GME
2020-05-11,1.23,1.24,1.19,1.19,1.19,6796800,,GME
2020-05-12,1.2,1.23,1.12,1.14,1.14,10556800,,GME
2020-05-13,1.14,1.14,1.02,1.05,1.05,11531600,,GME
2020-05-14,1.04,1.05,0.99,1.03,1.03,8019600,,GME
2020-05-15,1.01,1.11,1.01,1.06,1.06,7762400,,GME
2020-05-18,1.1,1.16,1.09,1.15,1.15,9456800,,GME
2020-05-19,1.15,1.19,1.09,1.11,1.11,7362800,,GME
2020-05-20,1.13,1.17,1.09,1.11,1.11,10174400,,GME
2020-05-21,1.11,1.16,1.1,1.11,1.11,7887600,,GME
2020-05-22,1.12,1.12,1.03,1.05,1.05,9519600,,GME
2020-05-26,1.09,1.15,1.08,1.11,1.11,14182800,,GME
2020-05-27,1.14,1.18,1.09,1.17,1.17,12586400,,GME
2020-05-28,1.19,1.19,1.08,1.08,1.08,8735600,,GME
2020-05-29,1.08,1.11,1.01,1.02,1.02,15846800,,GME
2020-06-01,1.03,1.09,1.01,1.03,1.03,10446400,,GME
2020-06-02,1.07,1.08,1.02,1.05,1.05,9477600,,GME
2020-06-03,1.06,1.13,1.05,1.11,1.11,12149600,,GME
2020-06-04,1.11,1.18,1.09,1.12,1.12,14057200,,GME
2020-06-05,1.07,1.1,1.02,1.04,1.04,25097600,,GME
2020-06-08,1.07,1.29,1.07,1.25,1.25,40534800,,GME
2020-06-09,1.25,1.25,1.14,1.24,1.24,32293600,,GME
2020-06-10,1.2,1.38,1.17,1.27,1.27,42425600,,GME
2020-06-11,1.16,1.23,1.05,1.09,1.09,24944000,,GME
2020-06-12,1.15,1.2,1.1,1.18,1.18,17512800,,GME
2020-06-15,1.13,1.19,1.11,1.17,1.17,15636000,,GME
2020-06-16,1.24,1.24,1.13,1.16,1.16,12485200,,GME
2020-06-17,1.14,1.21,1.13,1.19,1.19,14374000,,GME
2020-06-18,1.17,1.24,1.16,1.24,1.24,13695200,,GME
2020-06-19,1.24,1.27,1.17,1.22,1.22,29466400,,GME
2020-06-22,1.2,1.24,1.18,1.22,1.22,12715600,,GME
2020-06-23,1.24,1.25,1.2,1.21,1.21,12821600,,GME
2020-06-24,1.21,1.21,1.1,1.1,1.1,11904800,,GME
2020-06-25,1.08,1.14,1.08,1.12,1.12,9803200,,GME
2020-06-26,1.12,1.13,1.07,1.09,1.09,15204800,,GME
2020-06-29,1.09,1.13,1.08,1.1,1.1,8524800,,GME
2020-06-30,1.08,1.13,1.05,1.09,1.09,15556000,,GME
2020-07-01,1.08,1.13,1.08,1.11,1.11,9214800,,GME
2020-07-02,1.12,1.13,1.07,1.07,1.07,7550400,,GME
2020-07-06,1.08,1.09,1.05,1.06,1.06,8563600,,GME
2020-07-07,1.05,1.06,1.02,1.02,1.02,9826400,,GME
2020-07-08,1.03,1.07,1.01,1.07,1.07,8211200,,GME
2020-07-09,1.07,1.08,1.03,1.05,1.05,7970400,,GME
2020-07-10,1.05,1.1,1.05,1.09,1.09,5643200,,GME
2020-07-13,1.09,1.14,1.07,1.07,1.07,16864800,,GME
2020-07-14,1.06,1.08,1.02,1.02,1.02,9046400,,GME
2020-07-15,1.03,1.07,1.03,1.05,1.05,5896400,,GME
2020-07-16,1.05,1.05,1.02,1.04,1.04,5320400,,GME
2020-07-17,1.04,1.06,0.99,0.99,0.99,12263600,,GME
2020-07-20,0.99,1.02,0.94,0.96,0.96,13604400,,GME
2020-07-21,0.98,1.02,0.97,1,1,13351600,,GME
2020-07-22,1.01,1.03,0.98,1.03,1.03,10094000,,GME
2020-07-23,1.02,1.08,1.02,1.03,1.03,12948800,,GME
2020-07-24,1.02,1.06,1,1.01,1.01,8863600,,GME
2020-07-27,1.01,1.03,0.99,1,1,9890800,,GME
2020-07-28,0.99,1.01,0.98,0.99,0.99,18221600,,GME
2020-07-29,0.99,1.05,0.98,1.02,1.02,11518400,,GME
2020-07-30,1,1.06,0.99,1.03,1.03,9594000,,GME
2020-07-31,1.02,1.04,1,1,1,7517600,,GME
2020-08-03,1.01,1.06,1,1.04,1.04,10070400,,GME
