"date","open","high","low","close","adj_close","volume"
"2022-07-01","14.90","15.06","14.39","14.52","14.51","577610000"
"2022-07-05","14.18","14.97","14.06","14.96","14.95","651397000"
"2022-07-06","15.01","15.32","14.79","15.13","15.11","529066000"
"2022-07-07","15.46","15.95","15.39","15.86","15.84","492903000"
"2022-07-08","15.43","16.04","15.39","15.84","15.82","467972000"
"2022-07-11","15.53","15.53","15.04","15.15","15.13","437321000"
"2022-07-12","15.27","15.43","14.88","15.08","15.07","458483000"
"2022-07-13","14.59","15.38","14.47","15.16","15.15","521918000"
"2022-07-14","15.11","15.47","14.73","15.37","15.35","456235000"
"2022-07-15","15.66","15.78","15.45","15.76","15.74","385935000"
"2022-07-18","16.30","16.90","16.00","16.10","16.08","670517000"
"2022-07-19","16.49","17.11","16.17","16.99","16.97","702366000"
"2022-07-20","16.95","17.93","16.80","17.81","17.79","760538000"
"2022-07-21","17.89","18.14","17.55","18.05","18.03","557049000"
"2022-07-22","17.89","17.97","17.14","17.32","17.30","536671000"
"2022-07-25","17.02","17.12","16.65","17.02","17.00","480748000"
"2022-07-26","16.89","16.92","16.48","16.53","16.51","397865000"
"2022-07-27","17.03","17.94","16.91","17.79","17.77","569776000"
"2022-07-28","17.98","18.14","17.44","17.98","17.96","474646000"
"2022-07-29","17.81","18.24","17.69","18.16","18.14","435460000"
"2022-08-01","18.18","18.85","17.99","18.44","18.42","476469000"
"2022-08-02","18.12","18.94","18.09","18.53","18.51","489527000"
"2022-08-03","18.18","18.97","18.14","18.89","18.87","418146000"
"2022-08-04","18.85","19.27","18.76","19.22","19.19","409652000"
"2022-08-05","18.81","19.23","18.67","18.99","18.97","386068000"
"2022-08-08","17.50","18.24","17.24","17.79","17.77","981859000"
"2022-08-09","17.25","17.45","16.72","17.09","17.07","668263000"
"2022-08-10","17.70","18.12","17.32","18.10","18.08","597422000"
"2022-08-11","18.13","18.71","17.88","17.94","17.92","509327000"
"2022-08-12","18.16","18.72","17.95","18.71","18.69","478094000"
"2022-08-15","18.70","19.16","18.61","19.03","19.01","457666000"
"2022-08-16","18.92","19.14","18.50","18.88","18.86","451240000"
"2022-08-17","18.52","18.69","18.15","18.33","18.31","446799000"
"2022-08-18","18.30","18.87","18.18","18.77","18.75","415447000"
"2022-08-19","18.41","18.52","17.77","17.85","17.83","441588000"
"2022-08-22","17.49","17.56","16.97","17.03","17.01","409593000"
"2022-08-23","16.99","17.47","16.97","17.18","17.16","369986000"
"2022-08-24","17.01","17.41","16.90","17.22","17.20","522661000"
"2022-08-25","16.84","17.95","16.83","17.91","17.89","770691000"
"2022-08-26","17.86","17.92","16.24","16.26","16.24","769127000"
"2022-08-29","16.02","16.34","15.77","15.80","15.78","496132000"
"2022-08-30","15.96","16.04","15.18","15.47","15.45","530181000"
"2022-08-31","15.38","15.54","14.96","15.09","15.08","573710000"
"2022-09-01","14.21","14.38","13.27","13.94","13.92","1178865000"
"2022-09-02","14.10","14.17","13.59","13.65","13.63","743157000"
"2022-09-06","13.73","13.78","13.35","13.47","13.45","535751000"
"2022-09-07","13.56","13.84","13.35","13.71","13.70","512657000"
"2022-09-08","13.46","14.01","13.37","13.99","13.98","624873000"
"2022-09-09","14.16","14.47","14.13","14.39","14.38","486612000"
"2022-09-12","14.37","14.55","14.20","14.51","14.49","484159000"
"2022-09-13","13.80","13.92","13.10","13.13","13.12","714956000"
"2022-09-14","13.25","13.29","12.91","13.13","13.12","588507000"
