"date","open","high","low","close","adj_close","volume"
"2022-05-24","70.22","70.40","67.67","69.05","68.49","645400"
"2022-05-25","68.96","73.75","68.89","72.42","71.83","747600"
"2022-05-26","72.10","76.40","72.10","75.66","75.05","634400"
"2022-05-27","76.37","78.68","75.91","78.22","77.59","390600"
"2022-05-31","77.68","80.10","76.20","79.66","79.02","774000"
"2022-06-01","80.00","80.37","73.90","74.13","73.53","707700"
"2022-06-02","74.09","79.28","74.01","79.25","78.61","535200"
"2022-06-03","78.53","78.68","76.34","78.09","77.46","700900"
"2022-06-06","78.89","79.37","76.26","78.63","77.99","503500"
"2022-06-07","77.16","81.51","76.00","81.29","80.63","878800"
"2022-06-08","81.66","84.43","81.10","82.67","82.00","752100"
"2022-06-09","81.32","84.32","81.18","81.69","81.03","657200"
"2022-06-10","79.62","80.62","75.63","78.18","77.55","650600"
"2022-06-13","75.06","76.13","72.22","73.27","72.68","764900"
"2022-06-14","73.92","74.91","71.21","72.26","71.68","840900"
"2022-06-15","73.42","76.66","73.25","75.46","74.85","1001600"
"2022-06-16","72.63","75.21","71.26","71.87","71.29","749000"
"2022-06-17","72.87","77.19","72.55","76.60","75.98","700200"
"2022-06-21","77.17","78.81","75.34","75.47","74.86","630000"
"2022-06-22","74.11","76.39","72.86","73.92","73.32","696000"
"2022-06-23","74.83","80.99","73.42","80.64","79.99","945400"
"2022-06-24","81.49","84.84","80.99","83.58","82.90","1149900"
"2022-06-27","83.58","84.58","78.69","78.82","78.18","585800"
"2022-06-28","79.15","79.73","74.65","74.71","74.11","660100"
"2022-06-29","74.68","76.34","73.02","76.25","75.63","572800"
"2022-06-30","75.72","75.90","72.11","74.77","74.17","510300"
"2022-07-01","75.27","79.48","75.27","79.44","78.80","610400"
"2022-07-05","77.66","84.62","77.09","84.38","83.70","822800"
"2022-07-06","84.58","88.43","84.43","86.66","85.96","1016200"
"2022-07-07","86.26","92.35","86.17","91.16","90.42","1022600"
"2022-07-08","89.34","93.89","88.91","92.72","91.97","971500"
"2022-07-11","92.08","93.85","89.04","89.97","89.24","982200"
"2022-07-12","89.97","91.96","87.67","88.58","87.86","634900"
"2022-07-13","85.81","91.25","85.49","90.57","89.84","536800"
"2022-07-14","89.88","92.67","89.06","92.51","91.76","506400"
"2022-07-15","93.20","99.93","92.96","99.49","98.69","1067500"
"2022-07-18","99.98","100.83","96.47","96.55","95.77","709800"
"2022-07-19","97.72","102.00","96.55","101.77","100.95","654000"
"2022-07-20","102.06","110.74","101.04","107.46","106.59","1279000"
