,entity,day,accuracy,macroPrecision,macroRecall,macroF1
1,GameStop,1st Day,0.52,0.38888888888888884,0.37439613526570054,0.30779436152570483
2,GameStop,2nd Day,0.48,0.3014705882352941,0.3131313131313131,0.30198446937014667
3,GameStop,3rd Day,0.46,0.30815544608648054,0.3138888888888889,0.3084495488105004
4,GameStop,4th Day,0.52,0.34920634920634913,0.3511111111111111,0.3367521367521367
5,GameStop,5th Day,0.48,0.4675324675324675,0.4666666666666667,0.4663382594417077
1,Wingstop,1st Day,0.5833333333333334,0.7887323943661972,0.5161290322580645,0.39732142857142855
2,Wingstop,2nd Day,0.5833333333333334,0.5833333333333334,0.546875,0.509090909090909
3,Wingstop,3rd Day,0.625,0.5919786096256685,0.5698051948051949,0.5636363636363637
4,Wingstop,4th Day,0.6805555555555556,0.6624441132637854,0.5911371237458194,0.5817125536751705
5,Wingstop,5th Day,0.6111111111111112,0.5571428571428572,0.5064935064935066,0.4105263157894737
1,Nvidia,1st Day,0.5384615384615384,0.4727272727272727,0.4949608062709966,0.3846153846153846
2,Nvidia,2nd Day,0.5576923076923077,0.43333333333333335,0.34865754812563327,0.27425842131724487
3,Nvidia,3rd Day,0.5673076923076923,0.29207920792079206,0.47580645161290325,0.3619631901840491
4,Nvidia,4th Day,0.6057692307692307,0.3058252427184466,0.4921875,0.3772455089820359
5,Nvidia,5th Day,0.5384615384615384,0.511326860841424,0.34027777777777773,0.245672952725394
1,Dogecoin,1st Day,0.5068493150684932,0.546031746031746,0.5218045112781955,0.4413265306122449
2,Dogecoin,2nd Day,0.4520547945205479,0.4588989441930619,0.4572884012539185,0.44947209653092
3,Dogecoin,3rd Day,0.4246575342465753,0.21232876712328766,0.5,0.2980769230769231
4,Dogecoin,4th Day,0.4383561643835616,0.3454861111111111,0.4331831831831832,0.34147414741474147
5,Dogecoin,5th Day,0.547945205479452,0.4173076923076923,0.4663009404388715,0.40267790726506325
1,General,1st Day,0.5555555555555556,0.1851851851851852,0.3333333333333333,0.2380952380952381
2,General,2nd Day,0.5185185185185185,0.3723744292237443,0.3360182883795146,0.23982267064129023
3,General,3rd Day,0.531986531986532,0.35472431937771676,0.350345339081259,0.3231510165388587
4,General,4th Day,0.5353535353535354,0.3452160016496546,0.3412808641975309,0.3116705287550032
5,General,5th Day,0.5050505050505051,0.33503981797497157,0.33348659003831416,0.2316723983819898
